,**MARKET CAP (Rs Cr),BOOK VALUE (Rs),DELIVERABLES (%),DIV (%),DIV YIELD.(%),EPS (TTM),FACE VALUE (Rs),INDUSTRY P/E,MARKET CAP (Rs Cr),Market Lot,P/C,P/E,PRICE/BOOK,bse_52wk_high,bse_52wk_low,bse_price,company_name,nse_52wk_high,nse_52wk_low,nse_price
Manjeera Const,,67.73,  new,0.00%,-%,1.34,10.00,35.29,66.54,1,32.05,39.70,0.79,62.65,36.25,53.20,Manjeera Const,NA,NA,NA
Mansar Paper,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Mansar Paper,NA,NA,NA
Mansi Financ,,51.72,  new,0.00%,-%,6.14,10.00,39.26,16.77,1,7.43,7.73,0.92,52.45,22.25,47.45,Mansi Financ,NA,NA,NA
Manugraph Ind,,56.60, 55.56 new,0.00%,-%,-,2.00,27.65,154.36,1,-,-,0.90,70.50,40.20,50.75,Manugraph Ind,69.40,41.30,50.50
Marathon Realty,,246.60, 68.49 new,10.00%,0.30%,28.44,10.00,35.29,941.70,1,11.62,11.64,1.34,348.45,183.20,331.15,Marathon Realty,348.70,184.80,329.85
Margo Finance,,12.26, 100 new,0.00%,-%,0.68,10.00,39.26,4.34,1,13.57,13.97,0.77,15.46,9.10,9.50,Margo Finance,NA,NA,NA
Marnite Polycas,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Marnite Polycas,NA,NA,NA
Marsons,,10.55, 97.49 new,0.00%,-%,-,10.00,17.85,24.95,1,-,-,0.95,19.60,9.00,9.98,Marsons,NA,NA,NA
Maruti Organics,,-14.02,  new,0.00%,-%,-,0.00,36.00,0.00,100,-,-,-,NA,NA,NA,Maruti Organics,NA,NA,NA
Maruti Plastics,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Maruti Plastics,NA,NA,NA
Marvel Ind,,-341.79,  new,0.00%,-%,-,10.00,23.10,0.00,100,-,-,-,NA,NA,NA,Marvel Ind,NA,NA,NA
Mastek,,99.09, 15.87 new,20.00%,0.32%,8.08,5.00,18.51,740.83,1,23.95,39.22,3.20,397.50,108.65,316.90,Mastek,397.90,108.50,314.30
Matushree Text,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Matushree Text,NA,NA,NA
Mauria Udyog,,81.00,  new,0.00%,-%,6.98,10.00,32.79,77.59,1,5.25,8.35,0.72,58.25,10.15,58.25,Mauria Udyog,NA,NA,NA
Maxheights,,17.49, 99.66 new,0.50%,0.10%,0.30,10.00,35.29,81.17,1,123.81,173.33,2.97,62.50,43.05,52.00,Maxheights,NA,NA,NA
Mayar Finance,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Mayar Finance,NA,NA,NA
Mayur Uniquoter,,85.99, 82.88 new,15.00%,0.21%,17.62,5.00,33.56,"1,661.27",1,17.06,20.60,4.22,465.00,324.00,362.90,Mayur Uniquoter,461.80,336.00,363.15
Mazda Ind,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Mazda Ind,NA,NA,NA
Mazda Propertie,,-2.41,  new,0.00%,-%,-,10.00,22.59,0.00,100,-,-,-,NA,NA,NA,Mazda Propertie,NA,NA,NA
Mcnally Bh Engg,,7.93, 69.37 new,0.00%,-%,-,10.00,27.65,443.37,1,-,-,9.74,79.30,37.60,77.25,Mcnally Bh Engg,79.35,37.60,77.75
Medinova Diag,,-8.48, 100 new,0.00%,-%,-,10.00,54.86,26.35,1,67.69,-,-,48.90,23.05,26.40,Medinova Diag,NA,NA,NA
Meenakshi Steel,,48.53,  new,0.00%,-%,-,10.00,76.47,0.00,50,-,-,-,NA,NA,NA,Meenakshi Steel,NA,NA,NA
Mefcom Agro Ind,,1.55,  new,0.00%,-%,0.03,10.00,35.29,1.87,1,218.33,218.33,4.23,6.61,1.35,6.55,Mefcom Agro Ind,NA,NA,NA
Mega Channel,,,,,,,,,,,,,,,,,Mega Channel,,,
Mega Corp,,2.71, 100 new,0.00%,-%,0.07,1.00,39.26,6.60,1,6.00,9.43,0.24,1.09,0.34,0.66,Mega Corp,NA,NA,NA
Mega Fin,,2.45,  new,0.00%,-%,-,10.00,39.26,0.00,100,-,-,-,NA,NA,NA,Mega Fin,NA,NA,NA
Megasoft,,33.03, 62.01 new,0.00%,-%,0.23,10.00,18.51,74.59,1,44.34,73.26,0.51,26.00,13.50,16.85,Megasoft,26.00,13.25,16.75
Mehta Housing,,19.88,  new,0.00%,-%,0.38,10.00,28.85,2.37,1,20.26,20.26,0.39,12.60,6.00,7.70,Mehta Housing,NA,NA,NA
Mehta Rubber,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Mehta Rubber,NA,NA,NA
Menon Pistons,,13.30, 100 new,0.00%,-%,1.26,1.00,37.00,115.77,1,10.71,18.02,1.71,223.85,17.75,22.70,Menon Pistons,NA,NA,NA
Mercantile Vent,,21.60, 97.30 new,0.00%,-%,-,10.00,39.26,146.51,1,-,-,0.60,21.07,8.26,13.00,Mercantile Vent,NA,NA,NA
Mercury Labs,,204.58, 100 new,15.00%,0.30%,22.53,10.00,29.58,59.28,1,14.85,21.93,2.41,619.50,396.00,494.00,Mercury Labs,NA,NA,NA
Mercury Trade,,25.63,  new,0.00%,-%,0.03,10.00,26.39,0.00,100,-,-,-,NA,NA,NA,Mercury Trade,NA,NA,NA
Mertinez Entex ,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Mertinez Entex ,NA,NA,NA
Mesco Pharma,,-4.71,  new,NA,-%,-,NA,26.57,0.00,NA,-,-,-,NA,NA,NA,Mesco Pharma,NA,NA,NA
Metropoli Overs,,-6.69,  new,0.00%,-%,-,10.00,1.06,0.00,100,-,-,-,NA,NA,NA,Metropoli Overs,NA,NA,NA
Micro Energy,,-10.62,  new,0.00%,-%,-,10.00,9.18,0.00,100,-,-,-,NA,NA,NA,Micro Energy,NA,NA,NA
Mid-West India,,NA,  new,NA,-%,-,NA,-,0.00,50,-,-,-,NA,NA,NA,Mid-West India,NA,NA,NA
Mideast Portfol,,3.46,  new,0.00%,-%,0.43,10.00,39.26,0.57,1,4.42,4.42,0.55,4.25,1.90,1.90,Mideast Portfol,NA,NA,NA
Midland Polymer,,1.04,  new,0.00%,-%,-,1.00,23.10,0.00,1,-,-,-,NA,NA,NA,Midland Polymer,NA,NA,NA
Midwest Iron,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Midwest Iron,NA,NA,NA
Milk Partners,,1.35,  new,0.00%,-%,0.15,10.00,52.36,0.00,1,-,-,-,NA,NA,NA,Milk Partners,NA,NA,NA
Minda Corp,,19.09, 65.50 new,25.00%,0.47%,2.54,2.00,37.22,"2,241.73",1,30.86,42.17,5.61,126.70,85.50,107.10,Minda Corp,126.70,85.00,107.20
Mindvision Cap,,-0.98,  new,0.00%,-%,-,10.00,39.26,5.57,1,-,-,-,12.07,3.33,10.50,Mindvision Cap,NA,NA,NA
Mini Soft,,NA,  new,0.00%,-%,-,NA,-,0.00,0,-,-,-,NA,NA,NA,Mini Soft,NA,NA,NA
Minolta Finance,,9.01,  new,0.00%,-%,0.05,10.00,39.26,0.00,1,-,-,-,NA,NA,NA,Minolta Finance,NA,NA,NA
Mintage Electro,,9.18,  new,NA,-%,* -,10.00,32.81,0.00,1,-,-,-,NA,NA,NA,Mintage Electro,NA,NA,NA
Mitshi India,,-2.45,  new,0.00%,-%,-,10.00,55.80,6.84,1,-,-,-,16.75,7.70,9.00,Mitshi India,NA,NA,NA
Mitsu Chem Plas,,42.01, 100 new,17.00%,1.06%,* -,10.00,33.56,56.51,1200,-,-,3.82,197.00,95.20,160.30,Mitsu Chem Plas,NA,NA,NA
Model Fin Corp,,-1.31,  new,0.00%,-%,* -,10.00,21.91,0.00,1,-,-,-,NA,NA,NA,Model Fin Corp,NA,NA,NA
Modern Insulato,,108.34,  new,0.00%,-%,6.74,10.00,44.77,0.00,50,-,-,-,NA,NA,NA,Modern Insulato,NA,NA,NA
Modern Thread,,-47.67,  new,0.00%,-%,4.14,10.00,9.41,0.00,50,-,-,-,NA,NA,NA,Modern Thread,NA,NA,NA
Modex Intl Sec,,19.74, 42.99 new,0.00%,-%,1.06,10.00,39.26,28.17,1,19.73,44.29,2.38,173.50,25.05,46.95,Modex Intl Sec,NA,NA,NA
Mohit Paper Mil,,19.19, 100 new,0.00%,-%,0.69,10.00,11.71,18.90,1,3.63,19.57,0.70,17.45,5.38,13.50,Mohit Paper Mil,NA,NA,NA
Mohite Ind,,42.45, 99.93 new,0.00%,-%,-,10.00,10.59,23.22,1,6.28,-,0.27,30.40,11.55,11.55,Mohite Ind,NA,NA,NA
Mold Tek Tech,,12.34, 51.60 new,40.00%,1.59%,1.58,2.00,23.10,136.26,1,20.04,31.84,4.08,59.95,38.05,50.30,Mold Tek Tech,59.60,37.00,50.50
Monarch Net,,20.92, 73.45 new,0.00%,-%,2.41,10.00,39.26,220.37,1,24.31,30.17,3.48,78.50,23.55,72.70,Monarch Net,NA,NA,NA
Moneycare Finan,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Moneycare Finan,NA,NA,NA
Monozyme,,2.26,  new,0.00%,-%,-,5.00,26.63,0.00,1,-,-,-,NA,NA,NA,Monozyme,NA,NA,NA
Montari Ind,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Montari Ind,NA,NA,NA
Moongipa Capita,,13.48,  new,0.00%,-%,2.33,10.00,39.26,2.44,1,3.32,3.43,0.59,8.00,7.00,8.00,Moongipa Capita,NA,NA,NA
Morgan Ventures,,39.55,  new,0.00%,-%,0.03,10.00,39.26,8.85,1,223.50,298.00,0.23,14.68,6.22,8.94,Morgan Ventures,NA,NA,NA
Motherson Sumi,,11.90, 56.59 new,250.00%,0.77%,3.93,1.00,79.31,"68,201.50",1,66.52,82.43,27.22,492.85,185.34,323.95,Motherson Sumi,328.90,185.58,324.90
Motilal Oswal,,46.25, 47.67 new,250.00%,0.23%,5.07,1.00,39.26,"15,934.05",1,198.44,217.23,23.81,1329.00,439.10,1101.35,Motilal Oswal,1329.00,437.00,1102.10
Motorol Oils,,11.76,  new,0.00%,-%,-,10.00,32.13,0.00,1,-,-,-,NA,NA,NA,Motorol Oils,NA,NA,NA
Moulik Finance ,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Moulik Finance ,NA,NA,NA
Mountever Trade,,32.95,  new,0.00%,-%,0.97,10.00,16.71,47.52,1,30.04,41.49,1.22,46.90,40.25,40.25,Mountever Trade,NA,NA,NA
Movilex Irrigat,,-146.88,  new,0.00%,-%,-,10.00,54.51,0.00,1,-,-,-,NA,NA,NA,Movilex Irrigat,NA,NA,NA
MovingPicture,,,,,,,,,,,,,,,,,MovingPicture,,,
MphasiS,,266.02, 51.07 new,0.00%,-%,34.27,10.00,18.51,"11,510.43",1,16.73,17.40,2.24,654.35,425.00,596.25,MphasiS,654.00,465.05,594.45
Mudit Finlease,,14.48,  new,0.00%,-%,0.57,10.00,39.26,0.00,1,-,-,-,NA,NA,NA,Mudit Finlease,NA,NA,NA
Mukand,,29.65, 37.34 new,0.00%,-%,-,10.00,40.49,"1,275.48",1,43.79,-,3.04,91.30,45.55,90.20,Mukand,91.40,45.55,90.35
Mukati Transfor,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Mukati Transfor,NA,NA,NA
Mukunda Ind Fin,,3.63,  new,0.00%,-%,-,10.00,26.02,0.00,1,-,-,-,NA,NA,NA,Mukunda Ind Fin,NA,NA,NA
Multibase India,,50.98, 78.63 new,0.00%,-%,10.54,10.00,33.56,576.92,1,41.26,43.37,8.97,535.00,241.00,457.15,Multibase India,NA,NA,NA
Munis Forge,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Munis Forge,NA,NA,NA
Music Broadcast,,27.88, 75.93 new,0.00%,-%,* -,10.00,43.78,"2,056.54",1,-,-,12.93,420.00,332.90,360.45,Music Broadcast,415.00,333.00,361.00
Muthoot Cap,,129.73, 77.10 new,0.00%,-%,23.11,10.00,39.26,713.43,1,21.82,22.50,4.01,597.40,155.44,520.00,Muthoot Cap,577.40,153.03,522.60
Mysore Kirloska,,-25.43,  new,0.00%,-%,-,0.00,1.90,0.00,50,-,-,-,NA,NA,NA,Mysore Kirloska,NA,NA,NA
N P Chewing Gum,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,N P Chewing Gum,NA,NA,NA
NCL Seccolor,,NA,  new,NA,-%,-,NA,-,0.00,50,-,-,-,NA,NA,NA,NCL Seccolor,NA,NA,NA
NDA Securities,,13.75,  new,0.00%,-%,-,10.00,39.26,6.62,1,33.33,-,0.95,14.00,12.50,13.00,NDA Securities,NA,NA,NA
NDTV,,41.02, 58.27 new,0.00%,-%,-,4.00,43.78,304.63,1,-,-,1.15,96.90,46.00,47.25,NDTV,97.25,45.50,47.20
NELCO,,4.76, 28.49 new,0.00%,-%,2.85,10.00,21.56,236.06,1,21.20,36.30,21.73,114.80,68.40,103.45,NELCO,115.00,68.00,103.70
NHPC,,29.96, 62.06 new,15.00%,4.96%,2.72,10.00,14.55,"31,034.44",1,7.41,11.12,1.01,34.50,23.95,30.25,NHPC,34.50,23.90,30.20
NLC India,,115.72, 54.29 new,30.00%,2.98%,15.50,10.00,14.55,"15,400.33",1,5.05,6.50,0.87,123.00,71.00,100.75,NLC India,122.90,70.00,100.80
NMDC,,103.10, 43.69 new,1100.00%,8.96%,8.18,1.00,10.65,"38,820.94",1,13.94,15.00,1.19,152.50,98.75,122.70,NMDC,152.40,98.75,122.90
NMDC FPO,,,,,,,,,,,,,,,,,NMDC FPO,,,
NPR Finance,,65.52, 90.77 new,0.00%,-%,4.91,10.00,39.26,16.56,1,4.61,5.63,0.42,37.05,9.77,27.65,NPR Finance,NA,NA,NA
NRS Textile,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,NRS Textile,NA,NA,NA
NTPC,,107.43, 63.26 new,33.50%,2.05%,11.39,10.00,14.55,"135,398.36",1,8.83,14.38,1.52,177.80,143.45,163.80,NTPC,178.25,143.30,163.90
NV20,,,,,,,,,,,,,,,,,NV20,,,
Naga Dhunseri,,770.23, 25.30 new,0.00%,-%,106.20,10.00,39.26,0.00,1,6.03,-,0.85,NA,NA,NA,Naga Dhunseri,883.00,10.00,651.30
Nahar Ent,,172.58, 61.61 new,10.00%,0.90%,17.61,10.00,13.25,440.58,1,3.16,6.28,0.64,149.70,86.40,110.60,Nahar Ent,149.90,85.25,109.95
Nahar Fibres,,51.94,  new,NA,-%,2.38,0.00,-,0.00,1,-,-,-,NA,NA,NA,Nahar Fibres,NA,NA,NA
Nahar Intl,,33.47,  new,0.00%,-%,-,10.00,9.84,0.00,1,-,-,-,NA,NA,NA,Nahar Intl,NA,NA,NA
Nahar Poly Film,,68.59, 98.49 new,10.00%,0.87%,4.05,5.00,10.59,141.38,1,4.45,14.20,0.84,75.45,46.55,57.50,Nahar Poly Film,75.45,45.05,56.85
Naraingarh Suga,,10.71,  new,0.00%,-%,2.12,10.00,28.61,0.00,1,-,-,-,NA,NA,NA,Naraingarh Suga,NA,NA,NA
Narbada Gems,,4.11, 100 new,0.00%,-%,0.79,10.00,18.79,4.89,1,19.41,20.89,4.01,18.80,3.50,16.50,Narbada Gems,NA,NA,NA
Narmada Cem,,NA,  new,0.00%,-%,-,NA,-,0.00,1,-,-,-,NA,NA,NA,Narmada Cem,NA,NA,NA
Nasdaq ,,,,,,,,,,,,,,,,,Nasdaq ,,,
National Oxygen,,-9.55, 98.20 new,0.00%,-%,-,10.00,35.12,21.13,1,-,-,-,49.90,32.00,44.00,National Oxygen,NA,NA,NA
National Plasti,,27.34, 95.08 new,10.00%,1.38%,1.17,10.00,33.56,66.19,1,20.77,61.97,2.65,110.00,42.00,72.50,National Plasti,NA,NA,NA
National Stand,,68.17,  new,0.00%,-%,20.71,10.00,22.66,0.00,50,-,-,-,NA,NA,NA,National Stand,NA,NA,NA
Natural Biocon,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Natural Biocon,NA,NA,NA
Natural Capsule,,87.60, 84.34 new,15.00%,2.06%,1.01,10.00,20.24,45.28,1,9.16,71.93,0.83,107.00,70.00,72.65,Natural Capsule,NA,NA,NA
Natural Stone,,7.44,  new,0.00%,-%,0.23,10.00,11.78,0.00,100,-,-,-,NA,NA,NA,Natural Stone,NA,NA,NA
Nava Bharat Ven,,151.50, 47.40 new,50.00%,0.71%,4.65,2.00,19.70,"2,530.41",1,21.09,30.47,0.94,155.00,103.00,141.70,Nava Bharat Ven,155.00,103.10,141.40
Naval Techno,,21.50,  new,0.00%,-%,0.94,10.00,34.46,0.00,100,-,-,-,NA,NA,NA,Naval Techno,NA,NA,NA
Navigant Corp.,,16.98,  new,0.00%,-%,* -,10.00,39.26,2.27,10000,-,-,0.42,8.58,4.53,7.20,Navigant Corp.,NA,NA,NA
Navketan Merch,,12.05, 100 new,0.00%,-%,0.01,10.00,51.24,3.97,1,110.00,110.00,0.09,10.74,1.00,1.10,Navketan Merch,NA,NA,NA
Navneet,,31.07, 63.35 new,0.00%,-%,6.92,2.00,18.03,"3,965.81",1,21.25,24.54,5.47,193.60,94.00,169.80,Navneet,193.50,93.00,169.90
Navsari Cotton,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Navsari Cotton,NA,NA,NA
Neil Industries,,26.51,  new,0.00%,-%,0.26,10.00,39.26,56.70,1,96.67,111.54,1.09,56.00,25.70,29.00,Neil Industries,NA,NA,NA
Nelcast,,37.89, 28.35 new,45.00%,1.21%,3.91,2.00,29.10,645.55,1,13.61,18.98,1.96,77.80,44.50,74.20,Nelcast,78.00,44.00,73.10
Neptune Exports,,89.97,  new,0.00%,-%,-,10.00,18.60,0.00,100,-,-,-,NA,NA,NA,Neptune Exports,NA,NA,NA
Net 4 India,,-64.20,  new,0.00%,-%,-,10.00,18.51,2.03,1,-,-,-,2.97,1.01,1.01,Net 4 India,2.00,1.30,1.80
Netvista Info,,1.31,  new,0.00%,-%,0.19,10.00,18.51,3.19,1,11.19,12.37,1.79,13.87,2.00,2.35,Netvista Info,NA,NA,NA
Network,,-5.49,  new,0.00%,-%,-,2.00,30.96,0.00,1,-,-,-,NA,NA,NA,Network,NA,NA,NA
Neuland Lab,,242.78, 73.69 new,20.00%,0.14%,36.50,10.00,29.58,"1,291.33",1,25.28,39.82,5.99,1680.00,856.15,1453.50,Neuland Lab,1727.00,855.10,1447.75
Nevtia Spinners,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Nevtia Spinners,NA,NA,NA
New City Credit,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,New City Credit,NA,NA,NA
New Light Appar,,12.73, 100 new,0.00%,-%,0.13,10.00,42.20,4.27,1,43.73,100.92,1.03,13.12,10.00,13.12,New Light Appar,NA,NA,NA
New Plastomers,,-3.41,  new,0.00%,-%,* -,10.00,10.71,0.00,100,-,-,-,NA,NA,NA,New Plastomers,NA,NA,NA
Newtime Infra,,3.52,  new,0.00%,-%,-,1.00,27.66,0.00,1,-,-,-,NA,NA,NA,Newtime Infra,NA,NA,NA
Nexxoft,,3.97,  new,0.00%,-%,-,10.00,18.51,0.00,1,-,-,-,NA,NA,NA,Nexxoft,NA,NA,NA
Neycer India,,-2.85,  new,0.00%,-%,-,10.00,29.80,0.00,1,-,-,-,NA,NA,NA,Neycer India,NA,NA,NA
Nidhi Granites,,28.22,  new,0.00%,-%,-,10.00,51.24,1.80,1,-,-,0.85,39.00,16.50,24.05,Nidhi Granites,NA,NA,NA
Nifty50 Val 20,,,,,,,,,,,,,,,,,Nifty50 Val 20,,,
Nijjer Agro,,0.05,  new,0.00%,-%,-,10.00,55.93,10.20,1,32.26,-,200.00,10.00,10.00,10.00,Nijjer Agro,NA,NA,NA
Nikki Global,,5.09,  new,0.00%,-%,0.08,10.00,39.26,4.45,1,162.50,162.50,2.55,17.05,13.00,13.00,Nikki Global,NA,NA,NA
Nile,,331.49, 83.23 new,30.00%,0.47%,87.38,10.00,28.68,192.32,1,6.49,7.33,1.93,790.00,200.50,640.65,Nile,NA,NA,NA
Nilkamal,,467.17, 20.86 new,40.00%,0.21%,79.38,10.00,33.56,"2,834.61",1,16.95,23.93,4.07,2274.85,1150.20,1899.55,Nilkamal,2275.00,1150.00,1902.10
Nilsin Ultrache,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Nilsin Ultrache,NA,NA,NA
Nitin Fire Prot,,2.39, 57.23 new,0.00%,-%,-,2.00,39.68,191.44,1,-,-,2.74,37.35,5.93,6.55,Nitin Fire Prot,37.30,5.95,6.55
Nitta Gelatin,,171.94, 90.97 new,0.00%,-%,19.29,10.00,29.64,182.95,1,6.53,10.45,1.17,245.00,168.05,201.50,Nitta Gelatin,NA,NA,NA
Noble Bros Impe,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Noble Bros Impe,NA,NA,NA
Noble Explochem,,-16.61, 100 new,0.00%,-%,-,10.00,57.59,11.56,1,-,-,-,13.01,5.32,6.01,Noble Explochem,NA,NA,NA
Noble Polymers,,-3.06, 100 new,0.00%,-%,-,5.00,33.56,0.62,1,-,-,-,3.26,0.88,0.95,Noble Polymers,NA,NA,NA
Noel Agritech,,2.93,  new,0.00%,-%,-,10.00,20.83,0.00,100,-,-,-,NA,NA,NA,Noel Agritech,NA,NA,NA
Nortech,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Nortech,NA,NA,NA
Northland Sugar,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Northland Sugar,NA,NA,NA
Northlink Fisc,,10.75,  new,0.00%,-%,0.21,10.00,39.26,0.00,1,-,-,-,NA,NA,NA,Northlink Fisc,NA,NA,NA
Nouveau Global,,9.89,  new,0.00%,-%,-,10.00,43.78,0.00,1,-,-,-,NA,NA,NA,Nouveau Global,NA,NA,NA
Nova Electro,,-26.55,  new,0.00%,-%,* -,10.00,1.19,0.00,1,-,-,-,NA,NA,NA,Nova Electro,NA,NA,NA
Nova Publicat,,10.36,  new,0.00%,-%,0.25,10.00,39.26,11.35,1,144.00,144.00,3.47,136.95,36.00,36.00,Nova Publicat,NA,NA,NA
Nova Surgikos,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Nova Surgikos,NA,NA,NA
Nova Udyog Ltd,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Nova Udyog Ltd,NA,NA,NA
Nu Tek India,,31.61, 65.68 new,0.00%,-%,0.12,5.00,27.66,12.67,1,4.82,6.83,0.03,1.22,0.55,0.82,Nu Tek India,1.20,0.55,0.85
Numero Uno,,4.10,  new,0.00%,-%,-,10.00,20.44,0.00,1,-,-,-,NA,NA,NA,Numero Uno,NA,NA,NA
OFS Technologie,,19.44, 100 new,0.00%,-%,* -,10.00,18.51,8.67,6000,-,-,0.69,22.00,10.20,13.51,OFS Technologie,NA,NA,NA
OMC Computers L,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,OMC Computers L,NA,NA,NA
ONGC FPO,,,,,,,,,,,,,,,,,ONGC FPO,,,
ORG Informatics,,10.07,  new,0.00%,-%,-,10.00,25.33,0.00,1,-,-,-,NA,NA,NA,ORG Informatics,NA,NA,NA
Oasis Media,,0.86,  new,0.00%,-%,* -,1.00,21.91,0.00,1,-,-,-,NA,NA,NA,Oasis Media,NA,NA,NA
Oceana Software,,,,,,,,,,,,,,,,,Oceana Software,,,
Octanorm India ,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Octanorm India ,NA,NA,NA
Odyssey Video,,10.00,  new,0.00%,-%,-,10.00,24.35,0.00,0,-,-,-,NA,NA,NA,Odyssey Video,NA,NA,NA
Olympic Cards,,20.14, 50.25 new,0.00%,-%,-,10.00,30.96,23.97,1,16.15,-,0.73,26.00,13.00,14.70,Olympic Cards,NA,NA,NA
Om Sindhoori,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Om Sindhoori,NA,NA,NA
Omax Autos,,102.10, 79.79 new,10.00%,1.28%,-,10.00,37.22,166.83,1,6.71,-,0.76,103.40,65.05,78.00,Omax Autos,103.45,64.75,77.70
Omega Ag-Seeds,,10.18, 100 new,0.00%,-%,0.04,10.00,60.14,5.53,1,175.00,175.00,0.69,12.00,6.46,7.00,Omega Ag-Seeds,NA,NA,NA
Omega Int Tech,,15.39,  new,0.00%,-%,0.19,10.00,18.51,0.00,1,-,-,-,NA,NA,NA,Omega Int Tech,NA,NA,NA
Omnitel Ind,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Omnitel Ind,NA,NA,NA
One97 Comm,,,,,,,,,,,,,,,,,One97 Comm,,,
Onida Savak,,-10.28,  new,0.00%,-%,-,0.00,2.88,0.00,1,-,-,-,NA,NA,NA,Onida Savak,NA,NA,NA
Opal Luxury,,76.41,  new,0.00%,-%,* -,10.00,30.96,0.00,1000,-,-,-,NA,NA,NA,Opal Luxury,NA,NA,NA
Optel Telecom,,-3.00,  new,0.00%,-%,-,10.00,8.47,0.00,1,-,-,-,NA,NA,NA,Optel Telecom,NA,NA,NA
Optimus Finance,,8.69,  new,0.00%,-%,0.67,10.00,39.26,15.69,1,42.01,42.01,3.24,37.00,21.40,28.15,Optimus Finance,NA,NA,NA
Orbit Multi,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Orbit Multi,NA,NA,NA
Orchid Pharma,,-35.13, 53.65 new,0.00%,-%,-,10.00,29.58,247.77,1,-,-,-,45.85,23.70,27.85,Orchid Pharma,45.85,23.90,27.80
Orde Industries,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Orde Industries,NA,NA,NA
Organic Coating,,8.32, 100 new,0.00%,-%,0.17,10.00,112.01,14.50,1,10.05,111.18,2.27,25.50,7.02,18.90,Organic Coating,NA,NA,NA
Orient Paper,,23.91, 39.64 new,50.00%,0.52%,2.38,1.00,19.70,"2,032.74",1,21.53,40.25,4.01,98.00,56.10,95.80,Orient Paper,97.80,56.10,95.95
Orient Syntex,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Orient Syntex,NA,NA,NA
Orient Trade,,6.19,  new,0.00%,-%,0.30,10.00,27.21,0.00,1,-,-,-,NA,NA,NA,Orient Trade,NA,NA,NA
Orient Vegetexp,,-181.35,  new,0.00%,-%,* -,0.00,-,0.00,100,-,-,-,NA,NA,NA,Orient Vegetexp,NA,NA,NA
Oriental Bank,,366.09, 35.83 new,0.00%,-%,-,10.00,20.79,"5,067.93",1,-,-,0.40,190.80,101.70,146.40,Oriental Bank,191.00,101.80,146.45
Oriental Carbon,,326.04, 48.69 new,70.00%,0.54%,51.88,10.00,26.40,"1,325.82",1,19.33,24.82,3.95,1442.80,613.20,1287.70,Oriental Carbon,1435.00,582.90,1279.45
Oriental Indust,,-0.94,  new,0.00%,-%,* -,10.00,26.39,0.00,50,-,-,-,NA,NA,NA,Oriental Indust,NA,NA,NA
Oriental Remedy,,4.27,  new,0.00%,-%,-,10.00,26.20,0.00,100,-,-,-,NA,NA,NA,Oriental Remedy,NA,NA,NA
